bloco;uap;code;ual;Floresta/interface;linha;declividade;formiga;samam;herb;cipo;arbus;arvor;serap;abdoss;drh;dafl;alt;lats;lonw
1;1;E_FAR;1;i;11a;4.583333333;1;0;36.58333333;0;4.916666667;0;1.375;87.89;43.69;11.05;1007.38;-29.16517338;-50.06446888
2;5;E_CAR2;9;i;11e;4.5;5.666666667;0;43;0;5.583333333;5.25;0.691666667;51.04;94.61;40.74;388.38;-30.55737588;-52.56782388
1;2;E_CAR3;3;i;11h;10.16666667;0.333333333;0;42.83333333;2.75;18.33333333;3.75;1.891666667;59.22;56.38;22.63;250.63;-32.09228638;-53.62438988
3;7;E_FTR_FAR;13;i;11p;4.583333333;0;0;103.0833333;0;6.25;0;2.666666667;86.07;42.48125;411.93375;920.38;-29.4869875;-50.2039
3;9;E_CCB;17;i;11sam;7.916666667;0.333333333;0;39.08333333;0;4.416666667;5.333333333;0.508333333;32.48;510.33875;90.15;108.75;-28.529375;-55.428
3;8;E_CAR1;15;i;11sb;6;2;0;32.25;0.583333333;7.666666667;13.5;1.6;28.88;63.96;603.57875;90.625;-30.9376;-53.0198
1;3;E_FSI;5;i;11sf;5.416666667;21;4.166666667;30.33333333;1.583333333;2.25;3;0.65;57.16;91.20;90.77;126.63;-29.62845213;-55.14402913
2;6;E_CSR;11;i;11sl;3.083333333;16.66666667;3.25;36.5;3.666666667;2.583333333;8.5;1.5;40.71;49.30;93.38;260.88;-30.72242463;-55.51334513
2;4;E_CAL;7;i;11t;7.083333333;5.333333333;0;43.75;0;0;2.666666667;0.958333333;63.93;96.27;23.36;880.25;-29.01402913;-50.39411838
1;1;E_FAR;2;i;12a;11.91666667;1.333333333;2.25;32.58333333;0;13.58333333;0;0.833333333;55.88;11.43;40.05;966.25;-29.16459888;-50.05007025
2;5;E_CAR2;10;i;12e;8.166666667;5;0;37.41666667;11;9.333333333;1.25;1.383333333;76.87;149.87;52.41;390.63;-30.56467975;-52.55749563
1;2;E_CAR3;4;i;12h;4;1;0;41;1.666666667;21.5;0.583333333;1.541666667;52.37666667;213.17625;55.875;254.125;-32.09277275;-53.6179435
3;7;E_FTR_FAR;14;i;12p;8;0.666666667;2.916666667;80.25;0;22.66666667;0;2.458333333;81.2;20.4825;40.94;929.25;-29.4797375;-50.2076375
3;9;E_CCB;18;i;12sam;5.416666667;2.666666667;0;42.5;1.25;0.25;2.25;0.633333333;41.48333333;867.27625;157.28;116.5;-28.5309;-55.4189
3;8;E_CAR1;16;i;12sb;6.25;0;0.333333333;22.33333333;0;9.333333333;3.166666667;0.691666667;61.33;123.62;153.56;90.25;-30.9251125;-53.0285875
1;3;E_FSI;6;i;12sf;7.083333333;6;0;29;4.166666667;7.25;5.833333333;0.291666667;69.42;98.72;578.64;106.63;-29.62916;-55.13074888
