sq;ind;spp;male
sim;as10modi;Monodelphis dimidiata;1
sim;as11akaz;Akodon azarae;1
sim;as12modi;Monodelphis dimidiata;1
sim;as13modi;Monodelphis dimidiata;1
sim;as14desp;Deltamys sp.;1
sim;as15modi;Monodelphis dimidiata;1
sim;as16grmi;Gracilinanus microtarsus;1
sim;as17oxna;Oxymycterus nasutus;1
sim;as1akpa;Akodon paranaensis;1
sim;as2akpa;Akodon paranaensis;1
sim;as3brih;Brucepattersonius iheringi;1
sim;as4akpa;Akodon paranaensis;1
sim;as5oxna;Oxymycterus nasutus;0
sim;as6olsp;Oligoryzomys nigripes;1
sim;as7akpa;Akodon paranaensis;0
sim;as8akaz;Akodon azarae;1
sim;as9modi;Monodelphis dimidiata;1
sim;es10olsp;Oligoryzomys nigripes;1
sim;es11olsp;Oligoryzomys nigripes;1
sim;es12olsp;Oligoryzomys nigripes;1
sim;es13dial;Didelphis albiventris;1
sim;es14daaz;Dasyprocta azarae;0
sim;es1soan;Sooretamys angouya;1
sim;es3soan;Sooretamys angouya;0
sim;es4olsp;Oligoryzomys nigripes;0
sim;es5akre;Akodon reigi;0
sim;es6olsp;Oligoryzomys nigripes;1
não;es7olsp;Oligoryzomys nigripes;1
sim;es8dial;Didelphis albiventris;1
sim;es9soan;Sooretamys angouya;1
sim;hl1oxna;Oxymycterus nasutus;1
não;hl2dial;Didelphis albiventris;1
sim;hl3olsp;Oligoryzomys nigripes;1
não;hl4olsp;Oligoryzomys nigripes;1
sim;hl5olsp;Oligoryzomys nigripes;0
sim;hl6akre;Akodon reigi;1
sim;hl7olsp;Oligoryzomys nigripes;0
sim;hl8olsp;Oligoryzomys nigripes;0
sim;pet10akpa;Akodon paranaensis;0
sim;pet11akpa;Akodon paranaensis;0
sim;pet12dial;Didelphis albiventris;1
sim;pet13akpa;Akodon paranaensis;0
sim;pet14akpa;Akodon paranaensis;1
sim;pet15akpa;Akodon paranaensis;1
sim;pet16olsp;Oligoryzomys nigripes;1
sim;pet17akpa;Akodon paranaensis;1
sim;pet18soan;Sooretamys angouya;0
sim;pet19olsp;Oligoryzomys nigripes;1
sim;pet1akpa;Akodon paranaensis;0
sim;pet20akpa;Akodon paranaensis;0
não;pet21olsp;Oligoryzomys nigripes;0
sim;pet22akpa;Akodon paranaensis;0
não;pet23olsp;Oligoryzomys nigripes;1
sim;pet24olsp;Oligoryzomys nigripes;1
sim;pet25soan;Sooretamys angouya;0
sim;pet26akpa;Akodon paranaensis;0
sim;pet2sctu;Scapteromys tumidus;0
sim;pet30oxsp;Oxymycterus aff. judex;1
sim;pet31oxsp;Oxymycterus aff. judex;1
sim;pet32dedo;Delomys dorsalis;0
sim;pet33diau;Didelphis aurita;1
sim;pet34dial;Didelphis albiventris;0
sim;pet35oxsp;Oxymycterus aff. judex;0
sim;pet36akpa;Akodon paranaensis;0
sim;pet37olsp;Oligoryzomys nigripes;1
sim;pet38dial;Didelphis albiventris;1
sim;pet39diau;Didelphis aurita;0
sim;pet3delo;Delomys dorsalis;0
sim;pet40dial;Didelphis albiventris;0
sim;pet41nela;Necromys lasiurus;1
sim;pet42olsp;Oligoryzomys nigripes;1
sim;pet43olsp;Oligoryzomys nigripes;1
sim;pet44oxsp;Oxymycterus aff. judex;1
sim;pet45olsp;Oligoryzomys nigripes;1
não;pet46olsp;Oligoryzomys nigripes;1
sim;pet47olsp;Oligoryzomys nigripes;1
sim;pet48olsp;Oligoryzomys nigripes;1
sim;pet49olsp;Oligoryzomys nigripes;1
não;pet4olsp;Oligoryzomys nigripes;1
sim;pet50olsp;Oligoryzomys nigripes;1
sim;pet51nela;Necromys lasiurus;0
sim;pet52akpa;Akodon paranaensis;0
sim;pet53olsp;Oligoryzomys nigripes;1
sim;pet54soan;Sooretamys angouya;0
não;pet5olsp;Oligoryzomys nigripes;1
sim;pet6sctu;Scapteromys tumidus;1
não;pet7olsp;Oligoryzomys nigripes;1
sim;pet8olsp;Oligoryzomys nigripes;0
sim;pet9olsp;Oligoryzomys nigripes;1
sim;pm2akmo;Akodon montensis;1
sim;pm8dedo;Delomys dorsalis;1
sim;pm100oxna;Oxymycterus nasutus;0
não;pm101oxna;Oxymycterus nasutus;1
sim;pm102akse;Akodon serrensis;0
sim;pm103desp;Deltamys sp.;0
sim;pm104oxna;Oxymycterus nasutus;1
sim;pm105sctu;Scapteromys tumidus;0
sim;pm106akmo;Akodon montensis;0
não;pm107aksp;Akodon sp;1
sim;pm108thni;Thaptomys nigrita;0
não;pm109olsp;Oligoryzomys nigripes;0
sim;pm10dedo;Delomys dorsalis;1
não;pm110olsp;Oligoryzomys nigripes;1
sim;pm111akmo;Akodon montensis;0
sim;pm112akmo;Akodon montensis;1
não;pm113oxna;Oxymycterus nasutus;0
não;pm114olsp;Oligoryzomys nigripes;0
sim;pm11akmo;Akodon montensis;0
sim;pm12desp;Deltamys sp.;1
não;pm13modi;Monodelphis dimidiata;1
não;pm14aksp;Akodon sp;1
não;pm15modi;Monodelphis dimidiata;1
não;pm16modi;Monodelphis dimidiata;1
não;pm17modi;Monodelphis dimidiata;1
sim;pm18modi;Monodelphis dimidiata;1
sim;pm19modi;Monodelphis dimidiata;1
sim;pm1modi;Monodelphis dimidiata;1
sim;pm20dedo;Delomys dorsalis;1
sim;pm21akmo;Akodon montensis;1
sim;pm22akmo;Akodon montensis;1
sim;pm23akse;Akodon serrensis;0
não;pm24olsp;Oligoryzomys nigripes;1
sim;pm25akmo;Akodon montensis;1
sim;pm26modi;Monodelphis dimidiata;1
sim;pm27akaz;Akodon azarae;1
sim;pm28akse;Akodon serrensis;0
sim;pm29modi;Monodelphis dimidiata;1
sim;pm30akmo;Akodon montensis;1
sim;pm31oxna;Oxymycterus nasutus;0
sim;pm32akmo;Akodon montensis;1
sim;pm33akse;Akodon serrensis;0
não;pm34akmo;Akodon montensis;0
sim;pm35akse;Akodon serrensis;0
sim;pm36sctu;Scapteromys tumidus;1
sim;pm37akse;Akodon serrensis;0
sim;pm38akaz;Akodon azarae;1
sim;pm39akaz;Akodon azarae;1
sim;pm3akmo;Akodon montensis;0
não;pm40olsp;Oligoryzomys nigripes;0
sim;pm42modi;Monodelphis dimidiata;1
sim;pm43modi;Monodelphis dimidiata;1
sim;pm44modi;Monodelphis dimidiata;1
sim;pm45modi;Monodelphis dimidiata;0
não;pm46oxna;Oxymycterus nasutus;0
sim;pm47oxna;Oxymycterus nasutus;0
sim;pm48akaz;Akodon azarae;1
sim;pm49desp;Deltamys sp.;0
sim;pm4dedo;Delomys dorsalis;1
sim;pm50akmo;Akodon montensis;0
sim;pm51akmo;Akodon montensis;0
não;pm52oxna;Oxymycterus nasutus;0
sim;pm53akmo;Akodon montensis;1
sim;pm54akmo;Akodon montensis;0
sim;pm55akmo;Akodon montensis;0
sim;pm56akse;Akodon serrensis;0
sim;pm57akmo;Akodon montensis;1
sim;pm58akmo;Akodon montensis;1
sim;pm59modi;Monodelphis dimidiata;0
sim;pm5akse;Akodon serrensis;0
sim;pm60modi;Monodelphis dimidiata;1
sim;pm61akaz;Akodon azarae;0
não;pm62modi;Monodelphis dimidiata;0
sim;pm63akse;Akodon serrensis;1
não;pm64oxna;Oxymycterus nasutus;1
sim;pm65oxna;Oxymycterus nasutus;0
sim;pm66oxna;Oxymycterus nasutus;1
sim;pm67modi;Monodelphis dimidiata;1
não;pm68akaz;Akodon azarae;1
não;pm69aksp;Akodon sp;0
sim;pm6akmo;Akodon montensis;1
sim;pm70oxna;Oxymycterus nasutus;0
sim;pm71dedo;Delomys dorsalis;0
sim;pm72akse;Akodon serrensis;0
não;pm73olsp;Oligoryzomys nigripes;0
