"","individuo","species","lats","lonw"
"1","as10modi","Monodelphis_dimidiata",-29.16473138,-50.0502135
"2","as11akaz","Akodon_azarae",-29.16494263,-50.0505175
"3","as12modi","Monodelphis_dimidiata",-29.16459888,-50.05007025
"4","as13modi","Monodelphis_dimidiata",-29.16484425,-50.05035088
"5","as14desp","Deltamys_araucaria",-29.16459888,-50.05007025
"6","as15modi","Monodelphis_dimidiata",-29.16459888,-50.05007025
"7","as16grmi","Gracilinanus_microtarsus",-29.1651595,-50.05083113
"8","as17oxna","Oxymycterus_nasutus",-29.16473138,-50.0502135
"9","as1akpa","Akodon_paranaensis",-29.16394713,-50.06422175
"10","as2akpa","Akodon_paranaensis",-29.16394713,-50.06422175
"11","as3brih","Brucepattersonius_iheringi",-29.16413588,-50.06423138
"12","as4akpa","Akodon_paranaensis",-29.16413588,-50.06423138
"13","as5oxna","Oxymycterus_nasutus",-29.16517338,-50.06446888
"14","as6olsp","Oligoryzomys_nigripes",-29.16432038,-50.06425613
"15","as7akpa","Akodon_paranaensis",-29.16432038,-50.06425613
"16","as8akaz","Akodon_azarae",-29.16517338,-50.06446888
"17","as9modi","Monodelphis_dimidiata",-29.164837005,-50.0503655
"18","es10olsp","Oligoryzomys_nigripes",-30.5568515,-52.56766863
"19","es11olsp","Oligoryzomys_nigripes",-30.55701875,-52.56772888
"20","es12olsp","Oligoryzomys_nigripes",-30.55667713,-52.56763638
"21","es13dial","Didelphis_albiventris",-30.5642255866667,-52.5570455033333
"22","es14daaz","Dasyprocta_azarae",-30.56,-52.56
"23","es1soan","Sooretamys_angouya",-30.55649713,-52.5675735
"24","es3soan","Sooretamys_angouya",-30.55718925,-52.56777413
"25","es4olsp","Oligoryzomys_nigripes",-30.55649713,-52.5675735
"26","es5akre","Akodon_reigi",-30.55718925,-52.56777413
"27","es6olsp","Oligoryzomys_nigripes",-30.55667713,-52.56763638
"28","es7olsp","Oligoryzomys_nigripes",-30.5568515,-52.56766863
"29","es8dial","Didelphis_albiventris",-30.55632663,-52.56752463
"30","es9soan","Sooretamys_angouya",-30.55667713,-52.56763638
"31","hl1oxna","Oxymycterus_nasutus",-32.09237019,-53.624445065
"32","hl2dial","Didelphis_albiventris",-32.09332725,-53.61848138
"33","hl3olsp","Oligoryzomys_nigripes",-32.09372563,-53.6188765
"34","hl4olsp","Oligoryzomys_nigripes",-32.0930605,-53.61820763
"35","hl5olsp","Oligoryzomys_nigripes",-32.09292438,-53.618065
"36","hl6akre","Akodon_reigi",-32.09346688,-53.61861775
"37","hl7olsp","Oligoryzomys_nigripes",-32.09319388,-53.61834138
"38","hl8olsp","Oligoryzomys_nigripes",-32.09346688,-53.61861775
"39","pet10akpa","Akodon_paranaensis",-29.01360025,-50.39397994
"40","pet11akpa","Akodon_paranaensis",-29.01,-50.39
"41","pet12dial","Didelphis_albiventris",-29.01334925,-50.39391925
"42","pet13akpa","Akodon_paranaensis",-29.01318738,-50.3938535
"43","pet14akpa","Akodon_paranaensis",-29.01150075,-50.39190375
"44","pet15akpa","Akodon_paranaensis",-29.01,-50.39
"45","pet16olsp","Oligoryzomys_nigripes",-29.011674625,-50.391959625
"46","pet17akpa","Akodon_paranaensis",-29.0130015,-50.3938075
